"Order_Date","Payment_Method","Return_Date","Shipping_Method","User_Age","User_Location","Product_ID","User_Gender","Return_Status","Product_Category","Order_ID","Discount_Applied","Return_Reason","Order_Quantity","Product_Price","User_ID","Days_to_Return","signal_changed_mind","signal_high_discount","signal_late_return","signal_bulk_return","signal_expensive_item","abuse_score","is_abuse"
"2023-05-06","Debit Card","N/A","Next-Day",22,"City30","PROD00000002","Female","Not Returned","Toys","ORD00000002",26.64,"Not Returned",5,390.03,"USER00000002",0,0,0,0,0,0,0,0
"2024-02-08","Gift Card","N/A","Next-Day",54,"City22","PROD00000011","Male","Not Returned","Home","ORD00000011",0.27,"Not Returned",4,480.48,"USER00000011",0,0,0,0,0,0,0,0
"2024-06-07","PayPal","N/A","Standard",66,"City17","PROD00000012","Male","Not Returned","Toys","ORD00000012",30.26,"Not Returned",3,216.41,"USER00000012",0,0,0,0,0,0,0,0
"2023-07-22","PayPal","N/A","Next-Day",51,"City85","PROD00000013","Male","Not Returned","Electronics","ORD00000013",36.58,"Not Returned",2,198.78,"USER00000013",0,0,0,0,0,0,0,0
"2023-07-03","Credit Card","N/A","Next-Day",31,"City70","PROD00000020","Female","Not Returned","Clothing","ORD00000020",47.47,"Not Returned",1,6.14,"USER00000020",0,0,0,0,0,0,0,0
"2024-11-22","Gift Card","N/A","Standard",58,"City83","PROD00000025","Female","Not Returned","Electronics","ORD00000025",18.68,"Not Returned",5,371.15,"USER00000025",0,0,0,0,0,0,0,0
"2024-05-26","PayPal","N/A","Express",52,"City10","PROD00000027","Female","Not Returned","Home","ORD00000027",11.96,"Not Returned",1,455.82,"USER00000027",0,0,0,0,0,0,0,0
"2023-11-21","Debit Card","N/A","Standard",50,"City81","PROD00000063","Female","Not Returned","Clothing","ORD00000063",12.39,"Not Returned",1,428,"USER00000063",0,0,0,0,0,0,0,0
"2023-11-13","Credit Card","2024-06-16","Next-Day",62,"City28","PROD00000068","Male","Returned","Electronics","ORD00000068",12.27,"Wrong item",3,394.08,"USER00000068",216,0,0,1,0,1,2,1
"2023-07-10","Credit Card","N/A","Standard",62,"City43","PROD00000073","Male","Not Returned","Clothing","ORD00000073",17.53,"Not Returned",5,283.14,"USER00000073",0,0,0,0,0,0,0,0
"2023-05-30","PayPal","N/A","Standard",34,"City24","PROD00000076","Male","Not Returned","Electronics","ORD00000076",13.87,"Not Returned",5,139.6,"USER00000076",0,0,0,0,0,0,0,0
"2023-04-09","PayPal","2024-01-21","Standard",31,"City34","PROD00000077","Female","Returned","Books","ORD00000077",36.01,"Not as described",2,185.34,"USER00000077",287,0,1,1,0,0,2,1
"2023-07-31","PayPal","N/A","Next-Day",28,"City4","PROD00000089","Male","Not Returned","Home","ORD00000089",20.8,"Not Returned",3,481.66,"USER00000089",0,0,0,0,0,0,0,0
"2023-10-02","Gift Card","2024-02-27","Next-Day",66,"City25","PROD00000092","Female","Returned","Home","ORD00000092",16.01,"Changed mind",4,394.71,"USER00000092",148,1,0,1,1,1,4,1
"2023-02-27","PayPal","N/A","Standard",62,"City10","PROD00000095","Male","Not Returned","Books","ORD00000095",17.9,"Not Returned",1,490.55,"USER00000095",0,0,0,0,0,0,0,0
"2024-05-31","Gift Card","N/A","Next-Day",37,"City36","PROD00000110","Female","Not Returned","Toys","ORD00000110",29.18,"Not Returned",1,79.31,"USER00000110",0,0,0,0,0,0,0,0
"2023-09-06","Gift Card","N/A","Next-Day",37,"City69","PROD00000121","Male","Not Returned","Toys","ORD00000121",48.36,"Not Returned",2,116.2,"USER00000121",0,0,0,0,0,0,0,0
"2023-12-01","Debit Card","N/A","Express",23,"City56","PROD00000128","Male","Not Returned","Clothing","ORD00000128",35.55,"Not Returned",2,170.05,"USER00000128",0,0,0,0,0,0,0,0
"2024-10-27","Gift Card","N/A","Express",31,"City77","PROD00000148","Female","Not Returned","Toys","ORD00000148",44.89,"Not Returned",1,404.5,"USER00000148",0,0,0,0,0,0,0,0
"2024-10-15","Credit Card","N/A","Express",32,"City12","PROD00000149","Male","Not Returned","Toys","ORD00000149",26.75,"Not Returned",4,438.43,"USER00000149",0,0,0,0,0,0,0,0
"2024-07-19","Debit Card","N/A","Standard",18,"City81","PROD00000152","Female","Not Returned","Home","ORD00000152",33.02,"Not Returned",1,255.92,"USER00000152",0,0,0,0,0,0,0,0
"2023-04-27","PayPal","2024-09-14","Express",22,"City73","PROD00000163","Male","Returned","Toys","ORD00000163",8.13,"Defective",4,291.43,"USER00000163",506,0,0,1,1,0,2,1
"2024-06-02","Debit Card","2024-10-02","Next-Day",37,"City62","PROD00000164","Female","Returned","Electronics","ORD00000164",1.9,"Changed mind",1,128.65,"USER00000164",122,1,0,1,0,0,2,1
"2023-12-01","Gift Card","2024-05-09","Standard",32,"City93","PROD00000170","Male","Returned","Clothing","ORD00000170",43.34,"Changed mind",5,118.2,"USER00000170",160,1,1,1,1,0,4,1
"2024-02-25","PayPal","N/A","Next-Day",49,"City21","PROD00000174","Female","Not Returned","Toys","ORD00000174",7.07,"Not Returned",2,143.73,"USER00000174",0,0,0,0,0,0,0,0
"2024-08-26","PayPal","N/A","Next-Day",67,"City73","PROD00000176","Female","Not Returned","Electronics","ORD00000176",22.06,"Not Returned",5,140.05,"USER00000176",0,0,0,0,0,0,0,0
